run,learning_rate,gamma,batch_size,buffer_size,exploration_fraction,mean_reward,std_reward
1,1.0e-03,0.99,64,10000,0.2,13.4,18.421
2,5.0e-04,0.99,64,50000,0.3,12.325,18.377
3,1.0e-04,0.95,32,10000,0.4,18.55,20.032
4,1.0e-03,0.9,128,20000,0.2,33.275,26.623
5,2.0e-04,0.99,64,50000,0.5,13.8,18.915
6,5.0e-03,0.95,32,10000,0.3,15.2,25.105
7,1.0e-04,0.99,128,100000,0.2,22.025,20.148
8,3.0e-04,0.97,64,20000,0.35,14.0,18.753
9,1.0e-03,0.99,256,50000,0.25,15.25,21.986
10,6.0e-04,0.98,64,30000,0.3,11.95,20.478
