run,learning_rate,gamma,batch_size,buffer_size,exploration_initial_eps,exploration_final_eps,exploration_fraction,target_update_interval,mean_reward,std_reward
1,0.001,0.99,64,50000,1.0,0.05,0.1,500,33.35,24.377
2,0.0005,0.99,64,50000,1.0,0.05,0.15,500,26.65,22.868
3,0.0001,0.99,64,50000,1.0,0.01,0.2,1000,20.75,22.485
4,0.001,0.95,32,10000,1.0,0.05,0.1,500,22.45,20.358
5,0.001,0.95,128,100000,1.0,0.05,0.1,250,33.4,28.881
6,0.0005,0.9,64,50000,1.0,0.1,0.2,1000,22.85,25.753
7,0.001,0.99,256,100000,1.0,0.01,0.3,500,38.85,25.699
8,0.0002,0.99,64,50000,0.5,0.05,0.1,500,32.55,26.168
9,0.001,0.99,64,200000,1.0,0.05,0.1,2000,32.65,21.43
10,0.0003,0.97,128,50000,1.0,0.05,0.15,750,23.1,25.507
