run,learning_rate,gamma,n_steps,batch_size,n_epochs,clip_range,ent_coef,gae_lambda,mean_reward,std_reward
1,0.0003,0.99,2048,64,10,0.2,0.0,0.95,251.3,141.932
2,0.0001,0.99,2048,64,10,0.2,0.01,0.95,177.95,120.187
3,0.0003,0.99,1024,64,5,0.2,0.0,0.95,182.6,121.68
4,0.0003,0.95,2048,128,10,0.2,0.0,0.9,238.65,146.053
5,0.0005,0.99,2048,64,10,0.3,0.01,0.95,237.45,221.013
6,0.0003,0.99,512,64,10,0.2,0.0,0.95,238.55,96.411
7,0.001,0.99,2048,256,10,0.2,0.0,0.95,236.625,180.002
8,0.0003,0.99,2048,64,20,0.1,0.0,0.95,311.3,84.833
9,0.0003,0.99,4096,64,10,0.2,0.05,0.95,210.625,124.076
10,0.0002,0.97,2048,64,10,0.2,0.01,0.98,176.05,97.02
